epoch,accuracy,loss,mean_squared_error,root_mean_squared_error,val_accuracy,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.7003144918438459,61.766374943620065,61.76639890797266,7.859160191011038,0.3699397192537289,51.85603020407937,51.85602969293688,7.20111308708153
1,0.37824414421790986,51.310420343431375,51.31041960336659,7.1631291767890515,0.38866016037996715,50.02720954201438,50.02720829429415,7.072991467144163
2,0.3930913216335963,50.45947653560315,50.459477444402886,7.103483472522681,0.3993241920005205,49.63430057872426,49.63430200318861,7.045161602347288
3,0.4005830763212242,50.16887600139036,50.168876525159725,7.082999119381544,0.40307874233478097,49.4173329671224,49.4173325508724,7.029746265042032
4,0.40459424110920056,50.0823444431111,50.08234576798245,7.0768881415479825,0.4049198588135786,49.37832884355025,49.37832864905063,7.026971513322836
5,0.40555399437757583,49.92630987652277,49.92631094577583,7.065855287633326,0.4064924283088534,49.155155066287875,49.15515690580218,7.011073876789645
6,0.4052290728458746,49.887677144196076,49.88767831938211,7.0631210041582975,0.40320080027326405,49.15655922167229,49.15656142682952,7.011174040546242
7,0.4036243711163878,49.735621048232254,49.735623608011906,7.05234880079055,0.4060387774687292,48.97279750939572,48.972799015455834,6.998056802817182
8,0.40366065667731105,49.62015151977539,49.62015345640578,7.044157398610978,0.40492727598041606,48.86757787068685,48.86757777350784,6.99053487034489
9,0.4031729650554509,49.540643982968085,49.54064474272582,7.0385115431265595,0.40857587143577484,48.867588390003554,48.867587960844894,6.990535598997039
10,0.4039606794217455,49.45857271097474,49.4585737870339,7.032678990756929,0.3990087021584606,48.936724576083094,48.936724751408825,6.995478879348348
