epoch,accuracy,loss,mean_squared_error,root_mean_squared_error,val_accuracy,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.6684815160530219,366.5872415768898,69.67138476154098,8.346938646087018,0.36961564111322565,4.768973206028794,264.12148684855435,16.251814878608307
1,0.370005702484602,10.248356580734253,300.5361959617007,17.335979809681962,0.36961564111322565,4.454000574169737,286.6029352246568,16.92935129367504
2,0.370005702484602,3.8690421379218667,288.66248623981096,16.990070224687447,0.36961564111322565,4.395210099942757,286.42792343921786,16.924181618004987
3,0.370005702484602,3.840918803619126,290.85026043177027,17.054332600010188,0.36961564111322565,4.376053954615737,287.206087674674,16.947155739966338
4,0.370005702484602,3.8252500477483715,292.621365901907,17.10617917309143,0.36961564111322565,4.36866349884958,289.65853000264934,17.0193575085151
5,0.370005702484602,3.8124073238696083,293.858627608148,17.14230520111423,0.36961564111322565,4.3628455508839,290.11950109521047,17.03289467751182
6,0.370005702484602,3.8130886029388944,294.34309140886995,17.156430031007908,0.36961564111322565,4.361601013125795,291.69038726521103,17.078945730495516
7,0.370005702484602,3.811758425276158,294.96900360419687,17.17466167364577,0.36961564111322565,4.355500351298939,291.38420045715594,17.069979509570476
8,0.370005702484602,3.7978987936246194,294.91185177866043,17.172997751664106,0.36961564111322565,4.350054842053038,290.4909644774668,17.043795483326676
9,0.370005702484602,3.7990225088798395,295.0163748327428,17.176040720513644,0.36961564111322565,4.347036318345503,291.2126635505172,17.06495424988058
10,0.370005702484602,3.7969735153650834,295.1252617226074,17.179210160033765,0.36961564111322565,4.343761140649969,291.60859292007285,17.076550966751828
11,0.370005702484602,3.7983226776123047,295.3799268920727,17.186620577998244,0.36961564111322565,4.339174588521321,291.031376292439,17.05964173986192
12,0.370005702484602,3.7914851560431013,295.53520033466816,17.19113726123633,0.36961564111322565,4.336442022612601,291.58995851421224,17.076005344172632
13,0.370005702484602,3.790335970409846,295.6484360226704,17.194430377964558,0.36961564111322565,4.332865765600493,291.42460355131067,17.07116292322555
14,0.370005702484602,3.778489173468897,295.82433175971715,17.19954452186793,0.36961564111322565,4.332866964918194,292.714920963093,17.108913494523637
