epoch,accuracy,loss,mean_squared_error,root_mean_squared_error,val_accuracy,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,0.3334445059299469,27.348779678344727,256.0431823730469,16.0013484954834,0.329534649848938,15.488631248474121,283.70220947265625,16.843461990356445
1,0.3255929946899414,13.448819160461426,310.7530517578125,17.628189086914062,0.32422322034835815,12.569220542907715,317.1892395019531,17.80980682373047
2,0.31518203020095825,11.311570167541504,330.9977722167969,18.193344116210938,0.30140623450279236,10.923426628112793,335.5634765625,18.318391799926758
3,0.2883358597755432,10.247305870056152,353.128662109375,18.791717529296875,0.0,10.08106803894043,388.2418212890625,19.703853607177734
4,0.0,9.387685775756836,364.5069580078125,19.092065811157227,0.0,9.21965217590332,326.90533447265625,18.080524444580078
5,0.0,8.096622467041016,363.3099060058594,19.06068992614746,0.0,7.510263919830322,353.3688659667969,18.798107147216797
6,0.0,6.8470845222473145,372.7981872558594,19.3079833984375,0.0,6.602264881134033,390.9993591308594,19.773704528808594
7,0.0,6.107676982879639,368.81304931640625,19.204505920410156,0.0,6.079216003417969,364.1964111328125,19.08393096923828
8,1.4192518449362979e-07,15.432716369628906,371.9898376464844,19.287038803100586,0.0,7.920984268188477,347.4791259765625,18.640792846679688
9,0.0,6.349815368652344,367.0295715332031,19.158016204833984,0.0,5.999638557434082,352.94427490234375,18.78681182861328
10,0.0,5.3236494064331055,370.9151306152344,19.259157180786133,0.0,5.419955730438232,346.5765686035156,18.616567611694336
11,0.0,4.876328468322754,370.5787353515625,19.25042152404785,0.0,5.1157612800598145,377.99603271484375,19.442119598388672
12,0.0,4.563201427459717,374.5325012207031,19.352842330932617,0.0,4.797314643859863,409.833740234375,20.24435043334961
13,0.0,4.563201427459717,374.5325012207031,19.352842330932617,0.0,4.797314643859863,409.833740234375,20.24435043334961
13,1.0917321269232616e-08,4.3160505294799805,381.3189697265625,19.527389526367188,3.2531431770621566e-08,4.433122634887695,372.4489440917969,19.29893684387207
14,8.006036011920514e-08,4.078539848327637,373.05889892578125,19.314733505249023,1.951886048345841e-07,4.368712425231934,341.1550598144531,18.470382690429688
